猫奶粉	奶粉
猫奶粉	宠物生活
猫奶粉	未知
猫奶粉	其他
石锅豆腐	餐饮
姜汤面	餐饮
西红柿	未知
西红柿	蔬菜
西红柿	餐饮
西红柿	其他
鸡翅虾	餐饮
嘎达汤	餐饮
煲汤	餐饮
开业	其他
开业	水果
开业	未知
开业	餐饮
三养	未知
三养	粮油米面
三养	餐饮
三养	鲜食/低温
三养	便利食品
滑肉	餐饮
肉片	半成品料理
肉片	居家日用
肉片	未知
肉片	餐饮
肉片	肉禽蛋类
生日蜡烛	其他
生日蜡烛	居家日用
生日蜡烛	餐饮
有友	休闲食品
有友	未知
有友	粮油米面
有友	餐饮
草莓大福	水果
草莓大福	烘焙
草莓大福	餐饮
玉米糖水	未知
玉米糖水	餐饮
泡泡染发	其他
泡泡染发	个护清洁
泡泡染发	未知
海蜇	未知
海蜇	水产
海蜇	餐饮
满杯	餐饮
糖醋肉	餐饮
云南白药	个护清洁
云南白药	中西药品
云南白药	蔬菜
粗粉	餐饮
密码锁	其他
密码锁	家居家装
密码锁	水果
密码锁	未知
烤鸭套餐	未知
烤鸭套餐	其他
烤鸭套餐	餐饮
脱脂奶粉	奶粉
辣椒小鱼	餐饮
葱油秋葵	餐饮
猪肉韭菜	餐饮
芒果	水果
芒果	餐饮
芒果	未知
小鸡炖蘑菇	餐饮
泡饭	未知
泡饭	餐饮
葡萄糖粉	饮料
葡萄糖粉	中西药品
葡萄糖粉	冲调
葡萄糖粉	滋补保健
涮肚	餐饮
涮肚	肉禽蛋类
蔬菜沙拉	餐饮
干炸小河虾	餐饮
刀豆	蔬菜
刀豆	餐饮
川贝冰糖雪梨	餐饮
生烫	餐饮
牛丼饭	餐饮
手撕盐焗鸡	未知
手撕盐焗鸡	餐饮
手撕盐焗鸡	宠物生活
洗手液	个护清洁
洗手液	未知
洗手液	蔬菜
洗手液	日化用品
洗手液	日消品类
炒玉米	餐饮
鱼丸米线	餐饮
哈根达斯冰淇淋	冷冻冷藏
哈根达斯冰淇淋	未知
哈根达斯冰淇淋	餐饮
