意大利面	意面
牛肉粉丝汤	牛肉汤
牛肉粉丝汤	肉汤
片皮烤鸭	片鸭
北京片皮烤鸭	北京烤鸭
小米南瓜粥	小米粥
小米南瓜粥	米粥
酸菜龙利鱼	酸菜鱼
酸菜巴沙鱼	酸菜鱼
鲫鱼豆腐汤	鱼汤
鲫鱼豆腐汤	鲫鱼汤
韭菜炒鸡蛋	炒蛋
脆皮鸡米饭	鸡饭
蜜汁手扒鸡	蜜汁鸡
奶霜红茶	奶茶
法式奶霜红茶	奶茶
北京片皮烤鸭半只	北京烤鸭
片皮烤鸭半只	片皮鸭
片皮烤鸭半只	片鸭
意大利肉酱面	意大利面
皮蛋瘦肉粥	皮蛋粥
黄焖土豆鸡	黄焖鸡
黄焖土豆鸡	焖鸡
炒刀削面	炒面
牛肉刀削面	牛肉面
珍珠奶盖茶	奶茶
鲜肉小笼包	肉包
红心火龙果	红龙果
水煮龙利鱼	水煮鱼
梅干菜肉包	菜包
牛肉炒拉面	炒面
牛肉炒拉面	牛肉面
榴莲千层蛋糕	榴莲蛋糕
奶盖抹茶	奶茶
猪杂汤河粉	汤粉
猪杂汤河粉	猪杂粉
焖手擀面	焖面
酸辣笋尖米粉	笋尖粉
酸辣笋尖米粉	酸辣粉
酸辣笋尖米粉	酸辣米粉
干红葡萄酒	红酒
韭菜鸡蛋包	菜包
鸡蛋火腿炒饭	蛋炒饭
鸡蛋火腿炒饭	鸡蛋炒饭
奶霜绿茶	奶茶
法式奶霜绿茶	奶茶
牛肉炒刀削面	炒面
牛肉炒刀削面	牛肉面
牛肉炒刀削面	牛肉炒面
爆浆芝士鸡排	爆浆鸡排
五谷招牌鱼粉	五谷鱼粉
香香炸鸡	香鸡
老鸭粉丝汤	老鸭汤
老鸭粉丝汤	鸭汤
小龙虾加饭	龙虾饭
小龙虾加饭	虾饭
奶盖红茶	奶茶
酱香骨头饭	酱骨
酱香骨头饭	酱骨头
酱香骨头饭	酱骨饭
牛油果梨汁	果汁
牛油果梨汁	油梨
妈妈过桥米线	妈妈米线
鸡排双拼饭	鸡排饭
鸡排双拼饭	鸡饭
羊肉筋串	肉串
意式肉酱面	意面
锅烧卤牛肉粉	卤粉
烧卤牛肉粉	卤粉
五谷酸辣鱼粉	五谷鱼粉
五谷酸辣鱼粉	五谷鱼
韭菜鸡蛋包子	菜包
