1,香肠
2,鸡肉
3,柠檬
4,糯米
5,鱼肉
6,羊肉
7,羊排
8,土豆
9,牛肉
10,猪肉
11,羊杂
12,牛杂
13,鸡翅
14,豆腐
15,玉米
16,松子
17,青椒
18,茄子
19,刀豆
20,生菜
21,菠菜
22,青菜
23,香菇
24,白菜
25,羊肝
26,马肉
27,洋葱
28,辣椒
29,番茄
30,胡萝卜
31,猪瘦肉
32,木耳
33,笋
34,五花肉
35,芹菜
36,鸡丁
37,鸡蛋
38,花生
39,黄瓜
40,海蜇头
41,海蜇
42,鱼头
43,鲈鱼
44,牛排
45,黄豆芽
46,鸭血
47,毛肚
48,鱼片
49,鲶鱼
50,腰花
51,牛蛙
52,牛腩
53,猪大肠
54,茶树菇
55,百合
56,西芹
57,松仁
58,尖椒
59,咸蛋
60,冬瓜
61,南瓜
62,兰花
63,西兰花
64,鸡腿
65,大白菜
66,火腿
67,芝麻
68,红枣
69,黑米
70,金针菇
71,章鱼
72,芒果
73,蘑菇
74,牛柳
75,鱿鱼
76,年糕
77,葡萄
78,烧鸡
79,里脊
80,河粉
81,绿豆芽
82,米粉
83,炒米
84,鸭头
85,排骨
86,乌鸡
87,猪心
88,猪肚
89,土鸡
90,面条
91,面粉
92,莲子
93,党参
94,当归
95,枸杞
96,面皮
97,猪脑
98,乳鸽
99,草莓
100,空心菜
101,紫菜
102,猪肝
103,鸡爪
105,虾仁
106,葱
107,猪里脊肉
108,蕨菜
109,蛤蜊
110,泡椒
111,酸菜
112,草鱼
113,卷心菜
114,苹果
115,香蕉
116,冬笋
117,丝瓜
118,米线
119,葫芦
120,西葫芦
121,蒜苔
122,粉丝
123,西红柿
124,海带
125,绿豆
126,红豆
127,榨菜
128,萝卜
129,鸭蛋
130,豆角
131,皮蛋
132,核桃
133,干贝
134,草菇
135,山药
136,红椒
137,豆豉
138,鹌鹑蛋
139,鹌鹑
140,桂花
141,蟹肉
142,龙虾
143,鸡心
144,平菇
145,腐竹
146,香菜
147,黄花菜
148,油豆腐
149,油面筋
150,油条
151,黑木耳
152,韭菜
153,猪排
154,菠萝
155,青豆
156,牛奶
157,柚子
158,火鸡
159,芝士
160,朗姆酒
161,奶油
162,带鱼
163,黄鱼
164,目鱼
165,荠菜
166,千张
167,锅巴
168,银鱼
169,金枪鱼
170,鸽子
171,牛肚
172,鸭腿
173,猪蹄
174,香干
175,油菜
176,青辣椒
177,生面筋
178,松花蛋
179,豌豆粉
180,小葱
181,大葱
182,茴香
183,三黄鸡
184,鸡杂
185,红薯
186,牛尾
187,明太鱼
188,鳗鱼
189,鲳鱼
190,杏鲍菇
191,馒头
192,鸡皮
193,墨鱼
194,螺蛳
195,鸭肫
196,哈蜜瓜
197,大蒜
198,鸡蛋清
199,四季豆
200,秋刀鱼
201,椰子
202,娃娃菜
203,蓝莓
204,小米
205,桂圆
206,燕麦
207,三文鱼
208,椰果
209,荔枝
210,金桔
211,葡萄柚
212,水蜜桃
213,肉鸡
214,腊肉
215,竹笋
216,田鸡
217,板栗
218,梅干菜
219,基围虾
220,莴笋
221,薏米
222,西瓜
223,木瓜
224,雪梨
225,海藻
226,香草
227,香芋
228,哈密瓜
229,乌梅
230,鸡蛋面
231,鸭肉
232,鲮鱼
233,鱼排
234,鲫鱼
235,韭黄
236,鲢鱼
237,鳊鱼
238,毛豆
239,荷兰豆
240,黄豆
241,蒜苗
242,苦瓜
243,啤酒
244,猪脚
245,海苔
246,红薯粉
247,牛筋
248,带子
249,豌豆
250,茭白
251,白豆
252,鳕鱼
253,豆沙
254,海参
255,罗勒
256,藕
257,豇豆
258,黑鱼
259,花菜
260,驴肉
261,白萝卜
262,果仁
263,田螺
